time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.833,-17.10147298,1.678776882,-7.488012554,1.022203452,1.050951199,-0.330765897,41.30548273,4.579042262,-5.206637814,5.759674361,0.100525281,-27.03349978,0,0,-9.118611197,3.097589286,-9.082531957,28.36679592,0.495093987,-36.61332548,0,0,12.48402499,0.443832343,-6.629483408,-50.61664553,-23.56761439,-11.03148499,103.3324842,71.54128464,0,0,-32.86120787,-16.07758251,-6.373024304,129.3815247,71.26064528,0,0
0.834,-16.98122914,1.73530333,-7.604164245,1.022313594,1.050864792,-0.330637992,41.12415046,4.633112629,-5.040700976,5.647743795,0.098571725,-26.94949811,4.34E-18,-2.17E-18,-9.130661361,3.119089775,-9.199758953,28.83046011,0.503186454,-36.60341272,-2.51E-18,2.04E-18,12.35288634,0.414803582,-6.472029391,-50.51844795,-23.55359965,-11.00756129,103.3071416,71.54819409,4.38E-18,-1.22E-18,-32.89865063,-16.07828507,-6.330622838,129.1996734,71.24257803,1.09E-18,-4.34E-18
0.835,-16.85923495,1.792214329,-7.721954753,1.022417973,1.050773408,-0.330511372,40.94158118,4.685142285,-4.881399612,5.543606713,0.09675419,-26.86543068,9.91E-18,-3.26E-18,-9.139459346,3.141090611,-9.316870494,29.29997115,0.511380967,-36.5960373,-1.031E-17,3.12E-18,12.21912169,0.385287129,-6.31251457,-50.41636579,-23.54108541,-10.98271428,103.2804638,71.55515226,1.147E-17,-2.04E-18,-32.93602906,-16.07781637,-6.288757124,129.0142779,71.22496928,-1.36E-18,-9.23E-18
0.836,-16.73540918,1.849520206,-7.841147355,1.022516368,1.050677202,-0.330386215,40.75762707,4.734993908,-4.728672857,5.446987264,0.095067862,-26.7815613,1.343E-17,-2.71E-18,-9.145020728,3.163570935,-9.433511634,29.77534085,0.519677734,-36.59110107,-2.504E-17,-3.94E-18,12.08258011,0.355144963,-6.151181879,-50.31037941,-23.52997719,-10.95692611,103.2525116,71.56214319,1.506E-17,-3.8E-18,-32.97325054,-16.07632513,-6.247400843,128.8254375,71.20784648,-8.14E-18,-3.26E-18
0.837,-16.60968788,1.907227328,-7.961496485,1.022608563,1.050576304,-0.330262695,40.5721542,4.7825327,-4.582431707,5.357599819,0.093507757,-26.69815851,2.022E-17,-8.14E-18,-9.14734311,3.186498912,-9.549343921,30.25658864,0.528077092,-36.58847514,-4.241E-17,-1.859E-17,11.94313199,0.324244778,-5.988282971,-50.20047962,-23.52017629,-10.93017591,103.2233438,71.56915251,1.879E-17,-7.53E-18,-33.01022141,-16.07396487,-6.206526029,128.6332543,71.19123638,-1.384E-17,4.34E-18
0.838,-16.48202571,1.965338007,-8.082747929,1.022694351,1.050470815,-0.330140994,40.38504385,4.827627363,-4.442561553,5.275150263,0.092068741,-26.61549586,3.243E-17,-1.628E-17,-9.146405442,3.209831422,-9.664045672,30.74374128,0.53657951,-36.58800029,-6.134E-17,-3.854E-17,11.80067066,0.292461156,-5.824077411,-50.086667,-23.51158175,-10.90244014,103.1930161,71.57616739,2.531E-17,-1.52E-17,-33.04684846,-16.07089275,-6.166103455,128.4378335,71.17516486,-2.171E-17,9.23E-18
0.839,-16.35239707,2.023850386,-8.204639434,1.022773533,1.05036081,-0.330021296,40.19619409,4.870150797,-4.308924832,5.199337405,0.090745557,-26.5338519,4.085E-17,-2.66E-17,-9.142167244,3.233513828,-9.777312612,31.23683268,0.545185578,-36.58948722,-7.586E-17,-5.903E-17,11.65511412,0.259676598,-5.658831986,-49.96895213,-23.50409133,-10.87369282,103.1615818,71.58317645,3.457E-17,-2.144E-17,-33.08303959,-16.06726854,-6.126102884,128.239283,71.15965688,-3.42E-17,1.547E-17
0.84,-16.22079717,2.082758336,-8.326901346,1.022845923,1.050246334,-0.329903788,40.00552122,4.909980768,-4.18136382,5.129854488,0.089532851,-26.45351019,4.641E-17,-3.257E-17,-9.134567947,3.257479897,-9.888858553,31.73590366,0.55389601,-36.59271703,-9.051E-17,-7.925E-17,11.50640648,0.22578253,-5.492819949,-49.84735579,-23.49760242,-10.84390578,103.1290913,71.59016978,4.663E-17,-2.517E-17,-33.1187046,-16.0632536,-6.086493311,128.0377144,71.14473647,-4.75E-17,2.144E-17
0.841,-16.08724295,2.142051339,-8.449257332,1.022911344,1.050127399,-0.32978866,39.81296114,4.947000648,-4.05970355,5.066390775,0.0884252,-26.37475907,5.197E-17,-3.8E-17,-9.123526415,3.281651631,-9.998415697,32.24100164,0.562711633,-36.59744186,-1.0449E-16,-9.269E-17,11.35451934,0.190680336,-5.326320208,-49.72190898,-23.49201303,-10.81304895,103.0955919,71.59713885,6.147E-17,-2.89E-17,-33.15375582,-16.05900975,-6.047243179,127.8332426,71.13042671,-6.405E-17,2.985E-17
0.842,-15.9517738,2.201714388,-8.571425144,1.022969636,1.050003984,-0.329676108,39.61847059,4.981100139,-3.943754846,5.008633217,0.087417141,-26.29789153,5.767E-17,-4.288E-17,-9.108940631,3.305939198,-10.10573488,32.75218027,0.571633383,-36.60338578,-1.1399E-16,-1.0449E-16,11.19945295,0.154282368,-5.159616466,-49.59265299,-23.48722276,-10.78109066,103.0611279,71.6040765,8.431E-17,-3.623E-17,-33.18810883,-16.05469819,-6.008320575,127.6259859,71.11674972,-8.291E-17,3.963E-17
