time, fxLeft, fyLeft, fzLeft, fxRight, fyRight, fzRight
0.001, 91.0884, -15.6928, 258.292, -91.0884, 29.102, 576.214
0.002, 103.835, -21.8347, 299.168, -98.8883, 22.4208, 607.752
0.003, 0.999996, 6.93202e-310, 0.989683, -142.094, 48.2599, 890.617
0.004, 0.999994, 6.93202e-310, 0.989695, -139.815, 49.2875, 891.685
0.005, 0.999992, 6.93202e-310, 0.989709, -140.942, 50.3411, 894.465
0.006, 0.999989, 6.93202e-310, 0.989722, -140.346, 48.8324, 894.707
0.007, 0.999986, 6.93202e-310, 0.989737, -139.744, 50.7243, 896.658
0.008, 0.999983, 6.93202e-310, 0.989753, -139.116, 50.0699, 898.62
0.009, 0.999979, 6.93202e-310, 0.989769, -139.32, 50.2548, 899.738
0.01, 0.999975, 6.93202e-310, 0.989786, -137.794, 50.4267, 900.867
0.011, 0.99997, 6.93202e-310, 0.989804, -137.953, 49.7561, 902.858
0.012, 0.999965, 6.93202e-310, 0.989822, -137.221, 51.6196, 903.152
0.013, 0.99996, 6.93202e-310, 0.989842, -136.469, 50.9279, 905.157
0.014, 0.999955, 6.93202e-310, 0.989861, -135.673, 50.2251, 905.471
0.015, 0.999949, 6.93202e-310, 0.989882, -135.697, 51.2164, 907.492
0.016, 0.999943, 6.93202e-310, 0.989903, -134.83, 51.3481, 908.671
0.017, 0.999937, 6.93202e-310, 0.989925, -133.92, 50.623, 908.156
0.018, 0.99993, 6.93202e-310, 0.989948, -133.824, 51.5946, 910.202
0.019, 0.999923, 6.93202e-310, 0.989971, -132.823, 51.7059, 910.554
0.02, 0.999916, 6.93202e-310, 0.989994, -131.78, 50.969, 911.762
0.021, 0.999908, 6.93202e-310, 0.990018, -131.535, 51.0627, 911.278
0.022, 0.9999, 6.93202e-310, 0.990043, -130.386, 52.0147, 913.353
0.023, 0.999892, 6.93202e-310, 0.990069, -129.181, 51.2537, 912.879
0.024, 0.999884, 6.93202e-310, 0.990094, -130.473, 51.3432, 913.267
0.025, 0.999876, 6.93202e-310, 0.990121, -127.454, 51.4168, 914.509
0.026, 0.999867, 6.93202e-310, 0.990147, -127.775, 51.4948, 914.055
0.027, 0.999858, 6.93202e-310, 0.990175, -126.336, 51.5683, 913.608
0.028, 0.999849, 6.93202e-310, 0.990202, -126.526, 50.7782, 915.715
0.029, 0.99984, 6.93202e-310, 0.990231, -124.962, 52.5401, 914.424
0.03, 0.999831, 6.93202e-310, 0.990259, -124.172, 50.8918, 913.985
0.031, 0.999821, 6.93202e-310, 0.990288, -124.169, 50.9408, 915.25
0.032, 0.999812, 6.93202e-310, 0.990317, -121.545, 51.8324, 913.967
0.033, 0.999802, 6.93202e-310, 0.990347, -122.253, 51.025, 914.382
0.034, 0.999792, 6.93202e-310, 0.990377, -121.189, 51.0536, 913.095
0.035, 0.999782, 6.93202e-310, 0.990407, -120.051, 51.9338, 913.51
0.036, 0.999772, 6.93202e-310, 0.990438, -118.85, 50.2545, 913.072
0.037, 0.999762, 6.93202e-310, 0.990469, -118.412, 51.1272, 911.776
0.038, 0.999752, 6.93202e-310, 0.9905, -117.919, 51.996, 911.329
0.039, 0.999742, 6.93202e-310, 0.990532, -115.637, 49.4545, 910.874
0.04, 0.999732, 6.93202e-310, 0.990564, -116.691, 52.0188, 910.412
0.041, 0.999722, 6.93202e-310, 0.990596, -114.267, 49.4768, 909.094
0.042, 0.999712, 6.93202e-310, 0.990628, -113.475, 52.0336, 907.764
0.043, 0.999702, 6.93202e-310, 0.99066, -113.454, 49.4871, 906.426
0.044, 0.999691, 6.93202e-310, 0.990693, -111.659, 51.1951, 905.93
0.045, 0.999681, 6.93202e-310, 0.990725, -111.495, 49.4991, 905.418
0.046, 0.999671, 6.93202e-310, 0.990758, -110.402, 51.2097, 902.348
0.047, 0.999661, 6.93202e-310, 0.990792, -108.382, 50.3591, 901.814
0.048, 0.999651, 6.93202e-310, 0.990825, -109.705, 49.52, 901.267
0.049, 0.999642, 6.93202e-310, 0.990858, -106.685, 50.3811, 898.159
0.05, 0.999632, 6.93202e-310, 0.990892, -107.004, 49.5446, 896.735
0.051, 0.999622, 6.93202e-310, 0.990925, -104.698, 49.5637, 896.148
0.052, 0.999613, 6.93202e-310, 0.990959, -105.719, 50.4321, 893.848
0.053, 0.999603, 6.93202e-310, 0.990993, -103.27, 49.6069, 891.532
0.054, 0.999594, 6.93202e-310, 0.991026, -102.448, 49.6418, 890.052
0.055, 0.999585, 6.93202e-310, 0.99106, -102.409, 48.8281, 887.708
0.056, 0.999576, 6.93202e-310, 0.991094, -101.449, 49.7239, 886.199
0.057, 0.999567, 6.93202e-310, 0.991128, -98.7184, 49.7798, 882.971
0.058, 0.999559, 6.93202e-310, 0.991162, -100.177, 48.987, 882.283
0.059, 0.99955, 6.93202e-310, 0.991196, -98.1617, 49.064, 879.025
0.06, 0.999542, 6.93202e-310, 0.991231, -96.9387, 48.296, 877.456
0.061, 0.999534, 6.93202e-310, 0.991265, -96.4949, 50.0891, 874.163
0.062, 0.999526, 6.93202e-310, 0.991299, -95.1466, 47.6467, 871.71
0.063, 0.999518, 6.93202e-310, 0.991333, -94.583, 49.4683, 870.089
0.064, 0.99951, 6.93202e-310, 0.991367, -93.1084, 48.7487, 866.748
0.065, 0.999503, 6.93202e-310, 0.991401, -93.2785, 48.9005, 864.241
0.066, 0.999496, 6.93202e-310, 0.991435, -91.6916, 48.2115, 861.715
0.067, 0.999489, 6.93202e-310, 0.99147, -90.0532, 48.3865, 859.169
0.068, 0.999483, 6.93202e-310, 0.991504, -90.058, 48.5838, 855.757
0.069, 0.999476, 6.93202e-310, 0.991538, -89.1662, 47.9417, 853.172
0.07, 0.99947, 6.93202e-310, 0.991572, -88.2175, 49.0216, 851.419
0.071, 0.999464, 6.93202e-310, 0.991606, -86.3847, 47.5646, 847.095
0.072, 0.999458, 6.93202e-310, 0.99164, -87.0436, 48.6782, 844.449
0.073, 0.999453, 6.93202e-310, 0.991674, -85.1162, 48.1069, 841.784
0.074, 0.999447, 6.93202e-310, 0.991708, -83.9973, 47.5574, 838.248
0.075, 0.999442, 6.93202e-310, 0.991742, -82.8386, 48.7252, 835.541
0.076, 0.999437, 6.93202e-310, 0.991776, -83.3397, 47.3588, 832.813
0.077, 0.999433, 6.93202e-310, 0.99181, -82.1139, 48.5738, 829.215
0.078, 0.999428, 6.93202e-310, 0.991844, -79.9916, 47.2476, 826.446
0.079, 0.999424, 6.93202e-310, 0.991877, -79.5524, 48.5006, 822.81
0.08, 0.99942, 6.93202e-310, 0.991911, -79.9235, 47.22, 820.004
0.081, 0.999416, 6.93202e-310, 0.991945, -77.7212, 48.5184, 815.478
0.082, 0.999413, 6.93202e-310, 0.991979, -77.1948, 46.4315, 814.336
0.083, 0.999409, 6.93202e-310, 0.992012, -75.7905, 48.6236, 809.776
0.084, 0.999406, 6.93202e-310, 0.992046, -76.0759, 47.4458, 806.901
0.085, 0.999403, 6.93202e-310, 0.99208, -74.6279, 47.9795, 804.01
0.086, 0.999401, 6.93202e-310, 0.992114, -73.1712, 46.8477, 799.402
0.087, 0.999398, 6.93202e-310, 0.992147, -73.4001, 47.4412, 797.335
0.088, 0.999396, 6.93202e-310, 0.992181, -71.909, 47.2133, 793.552
0.089, 0.999394, 6.93202e-310, 0.992215, -70.4146, 47.8595, 789.755
0.09, 0.999392, 6.93202e-310, 0.992248, -70.6055, 47.6848, 786.803
0.091, 0.99939, 6.93202e-310, 0.992282, -69.9445, 46.6884, 784.684
0.092, 0.999388, 6.93202e-310, 0.992316, -68.428, 46.5675, 779.158
0.093, 0.999387, 6.93202e-310, 0.992349, -66.9076, 47.3299, 777.021
0.094, 0.999386, 6.93202e-310, 0.992383, -67.9414, 47.2698, 774.026
0.095, 0.999385, 6.93202e-310, 0.992417, -65.577, 47.2365, 769.321
0.096, 0.999384, 6.93202e-310, 0.992451, -64.9196, 46.3788, 768.011
0.097, 0.999383, 6.93202e-310, 0.992484, -64.2751, 46.3987, 762.435
0.098, 0.999382, 6.93202e-310, 0.992518, -63.638, 47.2932, 761.108
0.099, 0.999382, 6.93202e-310, 0.992552, -63.0224, 45.671, 756.369
0.1, 0.999381, 6.93202e-310, 0.992586, -61.5661, 46.6157, 754.173
0.101, 0.999381, 6.93202e-310, 0.99262, -60.9895, 46.7365, 750.27
0.102, 0.99938, 6.93202e-310, 0.992654, -60.4308, 45.1827, 746.358
0.103, 0.99938, 6.93202e-310, 0.992688, -59.0446, 46.201, 744.991
0.104, 0.99938, 6.93202e-310, 0.992723, -59.3922, 46.3965, 740.216
